date,symbol,open,high,low,close,volume,market,exchange,asset_type,name,sector,country,currency
2025-03-04,IAM,321.75,328.19,299.55,305.66,21375,CSE,Casablanca Stock Exchange,stock,Maroc Telecom,Telecommunications,Morocco,MAD
2025-03-05,IAM,302.61,308.66,281.73,287.48,21375,CSE,Casablanca Stock Exchange,stock,Maroc Telecom,Telecommunications,Morocco,MAD
2025-03-06,IAM,284.6,290.29,264.96,270.37,21375,CSE,Casablanca Stock Exchange,stock,Maroc Telecom,Telecommunications,Morocco,MAD
2025-03-07,IAM,267.67,273.02,249.2,254.28,21375,CSE,Casablanca Stock Exchange,stock,Maroc Telecom,Telecommunications,Morocco,MAD
2025-03-10,IAM,251.74,256.78,234.37,239.15,21375,CSE,Casablanca Stock Exchange,stock,Maroc Telecom,Telecommunications,Morocco,MAD
2025-03-11,IAM,236.76,241.5,220.43,224.92,21375,CSE,Casablanca Stock Exchange,stock,Maroc Telecom,Telecommunications,Morocco,MAD
2025-03-12,IAM,222.67,227.13,207.31,211.54,21375,CSE,Casablanca Stock Exchange,stock,Maroc Telecom,Telecommunications,Morocco,MAD
2025-03-13,IAM,209.43,213.61,194.98,198.95,21375,CSE,Casablanca Stock Exchange,stock,Maroc Telecom,Telecommunications,Morocco,MAD
2025-03-14,IAM,196.96,200.9,183.37,187.12,21375,CSE,Casablanca Stock Exchange,stock,Maroc Telecom,Telecommunications,Morocco,MAD
2025-03-17,IAM,185.25,188.95,172.46,175.98,21375,CSE,Casablanca Stock Exchange,stock,Maroc Telecom,Telecommunications,Morocco,MAD
2025-03-18,IAM,174.22,177.71,162.2,165.51,21375,CSE,Casablanca Stock Exchange,stock,Maroc Telecom,Telecommunications,Morocco,MAD
2025-03-19,IAM,163.86,167.13,152.55,155.66,21375,CSE,Casablanca Stock Exchange,stock,Maroc Telecom,Telecommunications,Morocco,MAD
2025-03-20,IAM,154.11,157.19,143.47,146.4,21375,CSE,Casablanca Stock Exchange,stock,Maroc Telecom,Telecommunications,Morocco,MAD
2025-03-21,IAM,144.94,147.84,134.94,137.69,21375,CSE,Casablanca Stock Exchange,stock,Maroc Telecom,Telecommunications,Morocco,MAD
2025-03-24,IAM,136.31,139.04,126.91,129.5,21375,CSE,Casablanca Stock Exchange,stock,Maroc Telecom,Telecommunications,Morocco,MAD
2025-03-25,IAM,128.2,130.77,119.36,121.79,21375,CSE,Casablanca Stock Exchange,stock,Maroc Telecom,Telecommunications,Morocco,MAD
2025-03-26,IAM,120.58,122.99,112.26,114.55,21375,CSE,Casablanca Stock Exchange,stock,Maroc Telecom,Telecommunications,Morocco,MAD
2025-03-27,IAM,113.4,115.67,105.58,107.73,21375,CSE,Casablanca Stock Exchange,stock,Maroc Telecom,Telecommunications,Morocco,MAD
2025-03-28,IAM,106.65,108.79,99.29,101.32,21375,CSE,Casablanca Stock Exchange,stock,Maroc Telecom,Telecommunications,Morocco,MAD
2025-03-31,IAM,100.31,102.31,93.39,95.29,21375,CSE,Casablanca Stock Exchange,stock,Maroc Telecom,Telecommunications,Morocco,MAD
