date,symbol,open,high,low,close,volume,market,exchange,asset_type
2025-03-04,COMI,13.86,14.14,12.9,13.17,453150,EGX,Egyptian Exchange,stock
2025-03-05,COMI,13.04,13.3,12.14,12.38,453150,EGX,Egyptian Exchange,stock
2025-03-06,COMI,12.26,12.5,11.41,11.65,453150,EGX,Egyptian Exchange,stock
2025-03-07,COMI,11.53,11.76,10.73,10.95,453150,EGX,Egyptian Exchange,stock
2025-03-10,COMI,10.84,11.06,10.1,10.3,453150,EGX,Egyptian Exchange,stock
2025-03-11,COMI,10.2,10.4,9.5,9.69,453150,EGX,Egyptian Exchange,stock
2025-03-12,COMI,9.59,9.78,8.93,9.11,453150,EGX,Egyptian Exchange,stock
2025-03-13,COMI,9.02,9.2,8.4,8.57,453150,EGX,Egyptian Exchange,stock
2025-03-14,COMI,8.48,8.65,7.9,8.06,453150,EGX,Egyptian Exchange,stock
2025-03-17,COMI,7.98,8.14,7.43,7.58,453150,EGX,Egyptian Exchange,stock
2025-03-18,COMI,7.51,7.66,6.99,7.13,453150,EGX,Egyptian Exchange,stock
2025-03-19,COMI,7.06,7.2,6.57,6.71,453150,EGX,Egyptian Exchange,stock
2025-03-20,COMI,6.64,6.77,6.18,6.31,453150,EGX,Egyptian Exchange,stock
2025-03-21,COMI,6.24,6.37,5.81,5.93,453150,EGX,Egyptian Exchange,stock
2025-03-24,COMI,5.87,5.99,5.47,5.58,453150,EGX,Egyptian Exchange,stock
2025-03-25,COMI,5.52,5.63,5.14,5.25,453150,EGX,Egyptian Exchange,stock
2025-03-26,COMI,5.19,5.3,4.84,4.93,453150,EGX,Egyptian Exchange,stock
2025-03-27,COMI,4.88,4.98,4.55,4.64,453150,EGX,Egyptian Exchange,stock
2025-03-28,COMI,4.59,4.69,4.28,4.36,453150,EGX,Egyptian Exchange,stock
2025-03-31,COMI,4.32,4.41,4.02,4.1,453150,EGX,Egyptian Exchange,stock
2025-04-01,COMI,4.06,4.15,3.78,3.86,453150,EGX,Egyptian Exchange,stock
2025-04-02,COMI,3.82,3.9,3.56,3.63,453150,EGX,Egyptian Exchange,stock
2025-04-03,COMI,3.59,3.67,3.35,3.41,453150,EGX,Egyptian Exchange,stock
