date,symbol,open,high,low,close,volume,market,exchange,asset_type,name,sector,country,currency
2025-03-04,COMI,13.86,14.14,12.9,13.17,453150,EGX,Egyptian Exchange,stock,Commercial International Bank,Banking,Egypt,EGP
2025-03-05,COMI,13.04,13.3,12.14,12.38,453150,EGX,Egyptian Exchange,stock,Commercial International Bank,Banking,Egypt,EGP
2025-03-06,COMI,12.26,12.5,11.41,11.65,453150,EGX,Egyptian Exchange,stock,Commercial International Bank,Banking,Egypt,EGP
2025-03-07,COMI,11.53,11.76,10.73,10.95,453150,EGX,Egyptian Exchange,stock,Commercial International Bank,Banking,Egypt,EGP
2025-03-10,COMI,10.84,11.06,10.1,10.3,453150,EGX,Egyptian Exchange,stock,Commercial International Bank,Banking,Egypt,EGP
2025-03-11,COMI,10.2,10.4,9.5,9.69,453150,EGX,Egyptian Exchange,stock,Commercial International Bank,Banking,Egypt,EGP
2025-03-12,COMI,9.59,9.78,8.93,9.11,453150,EGX,Egyptian Exchange,stock,Commercial International Bank,Banking,Egypt,EGP
2025-03-13,COMI,9.02,9.2,8.4,8.57,453150,EGX,Egyptian Exchange,stock,Commercial International Bank,Banking,Egypt,EGP
2025-03-14,COMI,8.48,8.65,7.9,8.06,453150,EGX,Egyptian Exchange,stock,Commercial International Bank,Banking,Egypt,EGP
2025-03-17,COMI,7.98,8.14,7.43,7.58,453150,EGX,Egyptian Exchange,stock,Commercial International Bank,Banking,Egypt,EGP
2025-03-18,COMI,7.51,7.66,6.99,7.13,453150,EGX,Egyptian Exchange,stock,Commercial International Bank,Banking,Egypt,EGP
2025-03-19,COMI,7.06,7.2,6.57,6.71,453150,EGX,Egyptian Exchange,stock,Commercial International Bank,Banking,Egypt,EGP
2025-03-20,COMI,6.64,6.77,6.18,6.31,453150,EGX,Egyptian Exchange,stock,Commercial International Bank,Banking,Egypt,EGP
2025-03-21,COMI,6.24,6.37,5.81,5.93,453150,EGX,Egyptian Exchange,stock,Commercial International Bank,Banking,Egypt,EGP
2025-03-24,COMI,5.87,5.99,5.47,5.58,453150,EGX,Egyptian Exchange,stock,Commercial International Bank,Banking,Egypt,EGP
2025-03-25,COMI,5.52,5.63,5.14,5.25,453150,EGX,Egyptian Exchange,stock,Commercial International Bank,Banking,Egypt,EGP
2025-03-26,COMI,5.19,5.3,4.84,4.93,453150,EGX,Egyptian Exchange,stock,Commercial International Bank,Banking,Egypt,EGP
2025-03-27,COMI,4.88,4.98,4.55,4.64,453150,EGX,Egyptian Exchange,stock,Commercial International Bank,Banking,Egypt,EGP
2025-03-28,COMI,4.59,4.69,4.28,4.36,453150,EGX,Egyptian Exchange,stock,Commercial International Bank,Banking,Egypt,EGP
2025-03-31,COMI,4.32,4.41,4.02,4.1,453150,EGX,Egyptian Exchange,stock,Commercial International Bank,Banking,Egypt,EGP
2025-04-01,COMI,4.06,4.15,3.78,3.86,453150,EGX,Egyptian Exchange,stock,Commercial International Bank,Banking,Egypt,EGP
2025-04-02,COMI,3.82,3.9,3.56,3.63,453150,EGX,Egyptian Exchange,stock,Commercial International Bank,Banking,Egypt,EGP
2025-04-03,COMI,3.59,3.67,3.35,3.41,453150,EGX,Egyptian Exchange,stock,Commercial International Bank,Banking,Egypt,EGP
2025-03-04,HRHO,35.63,39.61,34.92,38.84,64125,EGX,Egyptian Exchange,stock,EFG Hermes Holding,Financial Services,Egypt,EGP
2025-03-05,HRHO,39.54,43.96,38.75,43.09,64125,EGX,Egyptian Exchange,stock,EFG Hermes Holding,Financial Services,Egypt,EGP
2025-03-06,HRHO,43.87,48.77,42.99,47.82,64125,EGX,Egyptian Exchange,stock,EFG Hermes Holding,Financial Services,Egypt,EGP
2025-03-07,HRHO,48.68,54.12,47.71,53.06,64125,EGX,Egyptian Exchange,stock,EFG Hermes Holding,Financial Services,Egypt,EGP
2025-03-10,HRHO,54.01,60.05,52.93,58.88,64125,EGX,Egyptian Exchange,stock,EFG Hermes Holding,Financial Services,Egypt,EGP
2025-03-11,HRHO,59.94,66.64,58.74,65.33,64125,EGX,Egyptian Exchange,stock,EFG Hermes Holding,Financial Services,Egypt,EGP
2025-03-12,HRHO,66.51,73.94,65.18,72.49,64125,EGX,Egyptian Exchange,stock,EFG Hermes Holding,Financial Services,Egypt,EGP
2025-03-13,HRHO,73.8,82.05,72.32,80.44,64125,EGX,Egyptian Exchange,stock,EFG Hermes Holding,Financial Services,Egypt,EGP
2025-03-14,HRHO,81.89,91.04,80.25,89.26,64125,EGX,Egyptian Exchange,stock,EFG Hermes Holding,Financial Services,Egypt,EGP
2025-03-17,HRHO,90.86,101.02,89.05,99.04,64125,EGX,Egyptian Exchange,stock,EFG Hermes Holding,Financial Services,Egypt,EGP
2025-03-18,HRHO,100.82,112.09,98.81,109.9,64125,EGX,Egyptian Exchange,stock,EFG Hermes Holding,Financial Services,Egypt,EGP
2025-03-19,HRHO,111.87,124.38,109.64,121.94,64125,EGX,Egyptian Exchange,stock,EFG Hermes Holding,Financial Services,Egypt,EGP
2025-03-20,HRHO,124.14,138.02,121.66,135.31,64125,EGX,Egyptian Exchange,stock,EFG Hermes Holding,Financial Services,Egypt,EGP
2025-03-21,HRHO,137.75,153.15,134.99,150.14,64125,EGX,Egyptian Exchange,stock,EFG Hermes Holding,Financial Services,Egypt,EGP
2025-03-24,HRHO,152.85,169.93,149.79,166.6,64125,EGX,Egyptian Exchange,stock,EFG Hermes Holding,Financial Services,Egypt,EGP
2025-03-25,HRHO,169.6,188.56,166.21,184.87,64125,EGX,Egyptian Exchange,stock,EFG Hermes Holding,Financial Services,Egypt,EGP
2025-03-26,HRHO,188.19,209.23,184.43,205.13,64125,EGX,Egyptian Exchange,stock,EFG Hermes Holding,Financial Services,Egypt,EGP
2025-03-27,HRHO,208.82,232.17,204.65,227.62,64125,EGX,Egyptian Exchange,stock,EFG Hermes Holding,Financial Services,Egypt,EGP
2025-03-28,HRHO,231.71,257.62,227.08,252.57,64125,EGX,Egyptian Exchange,stock,EFG Hermes Holding,Financial Services,Egypt,EGP
2025-03-31,HRHO,257.11,285.86,251.97,280.26,64125,EGX,Egyptian Exchange,stock,EFG Hermes Holding,Financial Services,Egypt,EGP
2025-04-01,HRHO,285.3,317.2,279.59,310.98,64125,EGX,Egyptian Exchange,stock,EFG Hermes Holding,Financial Services,Egypt,EGP
2025-04-02,HRHO,316.57,351.97,310.24,345.07,64125,EGX,Egyptian Exchange,stock,EFG Hermes Holding,Financial Services,Egypt,EGP
2025-04-03,HRHO,351.28,390.55,344.25,382.89,64125,EGX,Egyptian Exchange,stock,EFG Hermes Holding,Financial Services,Egypt,EGP
2025-03-04,TMGH,11.18,12.31,10.95,12.07,59850,EGX,Egyptian Exchange,stock,Talaat Moustafa Group,Real Estate,Egypt,EGP
2025-03-05,TMGH,12.26,13.51,12.02,13.24,59850,EGX,Egyptian Exchange,stock,Talaat Moustafa Group,Real Estate,Egypt,EGP
