date,symbol,open,high,low,close,volume,market,exchange,asset_type
2025-03-04,SOL,877.14,894.68,816.62,833.28,205200,JSE,Johannesburg Stock Exchange,stock
2025-03-05,SOL,824.95,841.45,768.03,783.7,205200,JSE,Johannesburg Stock Exchange,stock
2025-03-06,SOL,775.87,791.38,722.33,737.07,205200,JSE,Johannesburg Stock Exchange,stock
2025-03-07,SOL,729.7,744.3,679.35,693.22,205200,JSE,Johannesburg Stock Exchange,stock
2025-03-10,SOL,686.28,700.01,638.93,651.97,205200,JSE,Johannesburg Stock Exchange,stock
2025-03-11,SOL,645.45,658.36,600.91,613.18,205200,JSE,Johannesburg Stock Exchange,stock
2025-03-12,SOL,607.05,619.19,565.16,576.69,205200,JSE,Johannesburg Stock Exchange,stock
2025-03-13,SOL,570.93,582.35,531.53,542.38,205200,JSE,Johannesburg Stock Exchange,stock
2025-03-14,SOL,536.96,547.7,499.91,510.11,205200,JSE,Johannesburg Stock Exchange,stock
2025-03-17,SOL,505.01,515.11,470.16,479.76,205200,JSE,Johannesburg Stock Exchange,stock
2025-03-18,SOL,474.96,484.46,442.19,451.21,205200,JSE,Johannesburg Stock Exchange,stock
2025-03-19,SOL,446.7,455.63,415.88,424.36,205200,JSE,Johannesburg Stock Exchange,stock
2025-03-20,SOL,420.12,428.52,391.13,399.12,205200,JSE,Johannesburg Stock Exchange,stock
2025-03-21,SOL,395.12,403.03,367.86,375.37,205200,JSE,Johannesburg Stock Exchange,stock
2025-03-24,SOL,371.61,379.05,345.97,353.03,205200,JSE,Johannesburg Stock Exchange,stock
2025-03-25,SOL,349.5,356.49,325.39,332.03,205200,JSE,Johannesburg Stock Exchange,stock
2025-03-26,SOL,328.71,335.28,306.03,312.27,205200,JSE,Johannesburg Stock Exchange,stock
2025-03-27,SOL,309.15,315.33,287.82,293.69,205200,JSE,Johannesburg Stock Exchange,stock
2025-03-28,SOL,290.76,296.57,270.69,276.22,205200,JSE,Johannesburg Stock Exchange,stock
2025-03-31,SOL,273.46,278.92,254.59,259.78,205200,JSE,Johannesburg Stock Exchange,stock
2025-04-01,SOL,257.18,262.33,239.44,244.33,205200,JSE,Johannesburg Stock Exchange,stock
2025-04-02,SOL,241.88,246.72,225.19,229.79,205200,JSE,Johannesburg Stock Exchange,stock
2025-04-03,SOL,227.49,232.04,211.79,216.12,205200,JSE,Johannesburg Stock Exchange,stock
