date,symbol,open,high,low,close,volume,market,exchange,asset_type
2025-03-04,HSBA,2154.62,2197.72,2084.08,2126.61,1641600,LSE,London Stock Exchange,stock
2025-03-05,HSBA,2126.61,2169.14,2084.08,2126.61,1641600,LSE,London Stock Exchange,stock
2025-03-06,HSBA,2135.83,2206.87,2093.11,2163.59,1641600,LSE,London Stock Exchange,stock
2025-03-07,HSBA,2182.34,2283.87,2138.7,2239.09,1641600,LSE,London Stock Exchange,stock
2025-03-10,HSBA,2287.6,2485.02,2241.85,2436.29,1641600,LSE,London Stock Exchange,stock
2025-03-11,HSBA,2499.64,2748.5,2449.64,2694.61,1641600,LSE,London Stock Exchange,stock
2025-03-12,HSBA,2776.35,3089.57,2720.82,3028.99,1641600,LSE,London Stock Exchange,stock
2025-03-13,HSBA,3134.0,3529.13,3071.32,3459.93,1641600,LSE,London Stock Exchange,stock
2025-03-14,HSBA,3594.87,4095.78,3522.97,4015.47,1641600,LSE,London Stock Exchange,stock
2025-03-17,HSBA,3858.87,3936.04,3339.23,3407.38,1641600,LSE,London Stock Exchange,stock
2025-03-18,HSBA,3289.26,3355.04,2888.23,2947.17,1641600,LSE,London Stock Exchange,stock
2025-03-19,HSBA,2857.78,2914.93,2545.76,2597.72,1641600,LSE,London Stock Exchange,stock
2025-03-20,HSBA,2530.18,2580.78,2286.17,2332.82,1641600,LSE,London Stock Exchange,stock
2025-03-21,HSBA,2282.28,2327.93,2091.25,2133.93,1641600,LSE,London Stock Exchange,stock
2025-03-24,HSBA,2115.44,2157.75,2019.23,2060.44,1641600,LSE,London Stock Exchange,stock
2025-03-25,HSBA,2051.51,2092.54,1984.34,2024.84,1641600,LSE,London Stock Exchange,stock
2025-03-26,HSBA,2024.84,2065.33,1984.34,2024.84,1641600,LSE,London Stock Exchange,stock
2025-03-27,HSBA,2033.61,2101.25,1992.94,2060.05,1641600,LSE,London Stock Exchange,stock
2025-03-28,HSBA,2077.9,2174.57,2036.35,2131.93,1641600,LSE,London Stock Exchange,stock
2025-03-31,HSBA,2178.12,2366.09,2134.56,2319.7,1641600,LSE,London Stock Exchange,stock
2025-04-01,HSBA,2279.49,2325.08,2117.74,2160.96,1641600,LSE,London Stock Exchange,stock
2025-04-02,HSBA,2132.86,2175.52,2008.69,2049.68,1641600,LSE,London Stock Exchange,stock
2025-04-03,HSBA,2031.92,2072.56,1939.51,1979.09,1641600,LSE,London Stock Exchange,stock
