date,symbol,open,high,low,close,volume,market,exchange,asset_type
2025-03-04,AAPL,106.76,124.14,104.62,121.71,4104000,NASDAQ,NASDAQ,stock
2025-03-05,AAPL,128.2,151.68,125.63,148.71,4104000,NASDAQ,NASDAQ,stock
2025-03-06,AAPL,157.63,189.73,154.48,186.01,4104000,NASDAQ,NASDAQ,stock
2025-03-07,AAPL,198.41,242.85,194.44,238.09,4104000,NASDAQ,NASDAQ,stock
2025-03-10,AAPL,225.39,229.9,185.54,189.33,4104000,NASDAQ,NASDAQ,stock
2025-03-11,AAPL,180.49,184.1,152.12,155.22,4104000,NASDAQ,NASDAQ,stock
2025-03-12,AAPL,149.01,151.99,128.51,131.13,4104000,NASDAQ,NASDAQ,stock
2025-03-13,AAPL,126.76,129.3,111.8,114.08,4104000,NASDAQ,NASDAQ,stock
2025-03-14,AAPL,111.04,113.26,100.12,102.16,4104000,NASDAQ,NASDAQ,stock
2025-03-17,AAPL,101.48,103.51,97.46,99.45,4104000,NASDAQ,NASDAQ,stock
2025-03-18,AAPL,99.45,101.44,97.46,99.45,4104000,NASDAQ,NASDAQ,stock
2025-03-19,AAPL,100.11,104.16,98.11,102.11,4104000,NASDAQ,NASDAQ,stock
2025-03-20,AAPL,103.48,109.77,101.41,107.61,4104000,NASDAQ,NASDAQ,stock
2025-03-21,AAPL,109.77,118.68,107.57,116.35,4104000,NASDAQ,NASDAQ,stock
2025-03-24,AAPL,121.01,138.24,118.59,135.53,4104000,NASDAQ,NASDAQ,stock
2025-03-25,AAPL,141.85,164.95,139.02,161.71,4104000,NASDAQ,NASDAQ,stock
2025-03-26,AAPL,170.34,201.54,166.93,197.59,4104000,NASDAQ,NASDAQ,stock
2025-03-27,AAPL,209.45,252.09,205.26,247.15,4104000,NASDAQ,NASDAQ,stock
2025-03-28,AAPL,263.62,322.67,258.35,316.35,4104000,NASDAQ,NASDAQ,stock
2025-03-31,AAPL,299.47,305.46,246.53,251.56,4104000,NASDAQ,NASDAQ,stock
2025-04-01,AAPL,258.27,284.51,253.1,278.93,4104000,NASDAQ,NASDAQ,stock
2025-04-02,AAPL,288.23,323.39,282.46,317.05,4104000,NASDAQ,NASDAQ,stock
2025-04-03,AAPL,329.73,376.68,323.14,369.3,4104000,NASDAQ,NASDAQ,stock
