date,symbol,open,high,low,close,volume,market,exchange,asset_type
2025-03-04,DANGCEM,5.03,5.28,4.93,5.18,89775,NGX,Nigerian Stock Exchange,stock
2025-03-05,DANGCEM,5.21,5.48,5.11,5.37,89775,NGX,Nigerian Stock Exchange,stock
2025-03-06,DANGCEM,5.4,5.67,5.29,5.56,89775,NGX,Nigerian Stock Exchange,stock
2025-03-07,DANGCEM,5.6,5.88,5.48,5.76,89775,NGX,Nigerian Stock Exchange,stock
2025-03-10,DANGCEM,5.8,6.09,5.68,5.97,89775,NGX,Nigerian Stock Exchange,stock
2025-03-11,DANGCEM,6.01,6.31,5.89,6.19,89775,NGX,Nigerian Stock Exchange,stock
2025-03-12,DANGCEM,6.23,6.54,6.1,6.41,89775,NGX,Nigerian Stock Exchange,stock
2025-03-13,DANGCEM,6.45,6.78,6.32,6.64,89775,NGX,Nigerian Stock Exchange,stock
2025-03-14,DANGCEM,6.68,7.02,6.55,6.88,89775,NGX,Nigerian Stock Exchange,stock
2025-03-17,DANGCEM,6.93,7.28,6.79,7.13,89775,NGX,Nigerian Stock Exchange,stock
2025-03-18,DANGCEM,7.18,7.54,7.03,7.39,89775,NGX,Nigerian Stock Exchange,stock
2025-03-19,DANGCEM,7.44,7.81,7.29,7.66,89775,NGX,Nigerian Stock Exchange,stock
2025-03-20,DANGCEM,7.71,8.1,7.55,7.94,89775,NGX,Nigerian Stock Exchange,stock
2025-03-21,DANGCEM,7.98,8.39,7.82,8.22,89775,NGX,Nigerian Stock Exchange,stock
2025-03-24,DANGCEM,8.27,8.69,8.11,8.52,89775,NGX,Nigerian Stock Exchange,stock
2025-03-25,DANGCEM,8.57,9.01,8.4,8.83,89775,NGX,Nigerian Stock Exchange,stock
2025-03-26,DANGCEM,8.88,9.33,8.7,9.15,89775,NGX,Nigerian Stock Exchange,stock
2025-03-27,DANGCEM,9.2,9.67,9.02,9.48,89775,NGX,Nigerian Stock Exchange,stock
2025-03-28,DANGCEM,9.54,10.02,9.35,9.82,89775,NGX,Nigerian Stock Exchange,stock
2025-03-31,DANGCEM,9.88,10.38,9.68,10.18,89775,NGX,Nigerian Stock Exchange,stock
2025-04-01,DANGCEM,10.24,10.76,10.03,10.55,89775,NGX,Nigerian Stock Exchange,stock
2025-04-02,DANGCEM,10.61,11.15,10.4,10.93,89775,NGX,Nigerian Stock Exchange,stock
2025-04-03,DANGCEM,10.99,11.55,10.77,11.32,89775,NGX,Nigerian Stock Exchange,stock
