date,symbol,open,high,low,close,volume,market,exchange,asset_type
2025-03-04,JPM,59.56,68.96,58.37,67.61,1402200,NYSE,New York Stock Exchange,stock
2025-03-05,JPM,70.99,83.27,69.57,81.63,1402200,NYSE,New York Stock Exchange,stock
2025-03-06,JPM,77.55,79.1,64.6,65.92,1402200,NYSE,New York Stock Exchange,stock
2025-03-07,JPM,62.95,64.21,53.37,54.45,1402200,NYSE,New York Stock Exchange,stock
2025-03-10,JPM,52.82,53.88,47.11,48.07,1402200,NYSE,New York Stock Exchange,stock
2025-03-11,JPM,46.87,47.8,42.48,43.35,1402200,NYSE,New York Stock Exchange,stock
2025-03-12,JPM,42.48,43.33,39.14,39.93,1402200,NYSE,New York Stock Exchange,stock
2025-03-13,JPM,39.34,40.12,36.81,37.57,1402200,NYSE,New York Stock Exchange,stock
2025-03-14,JPM,37.19,37.93,35.35,36.07,1402200,NYSE,New York Stock Exchange,stock
2025-03-17,JPM,36.25,37.53,35.53,36.8,1402200,NYSE,New York Stock Exchange,stock
2025-03-18,JPM,37.17,39.05,36.42,38.28,1402200,NYSE,New York Stock Exchange,stock
2025-03-19,JPM,38.86,41.42,38.08,40.6,1402200,NYSE,New York Stock Exchange,stock
2025-03-20,JPM,41.42,44.78,40.59,43.9,1402200,NYSE,New York Stock Exchange,stock
2025-03-21,JPM,45.0,49.34,44.1,48.37,1402200,NYSE,New York Stock Exchange,stock
2025-03-24,JPM,50.31,57.47,49.3,56.35,1402200,NYSE,New York Stock Exchange,stock
2025-03-25,JPM,58.88,68.17,57.7,66.83,1402200,NYSE,New York Stock Exchange,stock
2025-03-26,JPM,70.17,82.31,68.77,80.7,1402200,NYSE,New York Stock Exchange,stock
2025-03-27,JPM,76.66,78.2,63.86,65.16,1402200,NYSE,New York Stock Exchange,stock
2025-03-28,JPM,62.23,63.48,52.75,53.83,1402200,NYSE,New York Stock Exchange,stock
2025-03-31,JPM,52.21,53.26,46.56,47.52,1402200,NYSE,New York Stock Exchange,stock
2025-04-01,JPM,48.94,54.41,47.96,53.35,1402200,NYSE,New York Stock Exchange,stock
2025-04-02,JPM,55.21,62.23,54.11,61.01,1402200,NYSE,New York Stock Exchange,stock
2025-04-03,JPM,63.45,72.49,62.18,71.06,1402200,NYSE,New York Stock Exchange,stock
