date,symbol,open,high,low,close,volume,market,exchange,asset_type
2025-03-04,7203,1209.48,1287.95,1185.29,1262.7,299250,TYO,Tokyo Stock Exchange,stock
2025-03-05,7203,1285.85,1383.7,1260.13,1356.57,299250,TYO,Tokyo Stock Exchange,stock
2025-03-06,7203,1386.42,1507.48,1358.69,1477.92,299250,TYO,Tokyo Stock Exchange,stock
2025-03-07,7203,1515.85,1665.22,1485.54,1632.57,299250,TYO,Tokyo Stock Exchange,stock
2025-03-10,7203,1692.43,1916.17,1658.59,1878.6,299250,TYO,Tokyo Stock Exchange,stock
2025-03-11,7203,1809.72,1845.91,1578.44,1610.65,299250,TYO,Tokyo Stock Exchange,stock
2025-03-12,7203,1557.5,1588.65,1375.24,1403.31,299250,TYO,Tokyo Stock Exchange,stock
2025-03-13,7203,1362.14,1389.39,1217.43,1242.27,299250,TYO,Tokyo Stock Exchange,stock
2025-03-14,7203,1210.39,1234.6,1094.85,1117.19,299250,TYO,Tokyo Stock Exchange,stock
2025-03-17,7203,1100.8,1122.82,1031.32,1052.37,299250,TYO,Tokyo Stock Exchange,stock
2025-03-18,7203,1040.79,1061.61,986.32,1006.45,299250,TYO,Tokyo Stock Exchange,stock
2025-03-19,7203,999.07,1019.05,957.54,977.09,299250,TYO,Tokyo Stock Exchange,stock
2025-03-20,7203,973.5,992.97,943.54,962.8,299250,TYO,Tokyo Stock Exchange,stock
2025-03-21,7203,962.8,982.05,943.54,962.8,299250,TYO,Tokyo Stock Exchange,stock
2025-03-24,7203,973.39,1025.62,953.92,1005.51,299250,TYO,Tokyo Stock Exchange,stock
2025-03-25,7203,1020.26,1086.45,999.85,1065.15,299250,TYO,Tokyo Stock Exchange,stock
2025-03-26,7203,1084.67,1167.22,1062.98,1144.33,299250,TYO,Tokyo Stock Exchange,stock
2025-03-27,7203,1169.51,1271.63,1146.12,1246.69,299250,TYO,Tokyo Stock Exchange,stock
2025-03-28,7203,1278.69,1404.69,1253.12,1377.15,299250,TYO,Tokyo Stock Exchange,stock
2025-03-31,7203,1427.65,1616.38,1399.09,1584.69,299250,TYO,Tokyo Stock Exchange,stock
2025-04-01,7203,1590.5,1640.15,1558.69,1607.99,299250,TYO,Tokyo Stock Exchange,stock
2025-04-02,7203,1619.79,1688.53,1587.39,1655.42,299250,TYO,Tokyo Stock Exchange,stock
2025-04-03,7203,1673.63,1763.44,1640.16,1728.86,299250,TYO,Tokyo Stock Exchange,stock
